event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue
1994-03-11,UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,1,170,Open Weight,KO/TKO,Orlando Wiet,Southpaw,,0.0,0.0,12.0,6.0,8.0,2.0,15.0,6.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,7.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0
1994-03-11,UFC 2: No Way Out,Royce Gracie,Remco Pardoel,1,91,Open Weight,Submission,Royce Gracie,Southpaw,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03-11,UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,1,67,Open Weight,Submission,Patrick Smith,Orthodox,Orthodox,0.0,0.0,12.0,9.0,5.0,4.0,12.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,4.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,6.0,4.0,3.0,4.0,10.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,1,187,Open Weight,Submission,Johnny Rhodes,Orthodox,Southpaw,1.0,0.0,29.0,7.0,13.0,4.0,38.0,11.0,21.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,28.0,1.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,6.0,7.0,1.0,0.0,2.0,0.0,9.0,0.0,21.0,0.0
1994-03-11,UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,1,89,Open Weight,KO/TKO,Remco Pardoel,Southpaw,Southpaw,0.0,0.0,7.0,2.0,7.0,1.0,7.0,7.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
1994-03-11,UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,1,591,Open Weight,Submission,Remco Pardoel,Southpaw,,0.0,0.0,6.0,3.0,4.0,1.0,22.0,11.0,20.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,David Levicki,1,733,Open Weight,KO/TKO,Johnny Rhodes,Orthodox,,0.0,0.0,17.0,5.0,11.0,4.0,86.0,102.0,74.0,95.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,9.0,4.0,15.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,9.0,1.0,15.0,1.0
1994-03-11,UFC 2: No Way Out,Patrick Smith,Ray Wizard,1,58,Open Weight,Submission,Patrick Smith,Orthodox,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1994-03-11,UFC 2: No Way Out,Patrick Smith,Scott Morris,1,30,Open Weight,KO/TKO,Patrick Smith,Orthodox,Orthodox,0.0,0.0,17.0,0.0,13.0,0.0,25.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,12.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,16.0,0.0
1994-03-11,UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,1,292,Open Weight,Submission,Frank Hamaker,,,0.0,0.0,3.0,0.0,2.0,0.0,15.0,0.0,14.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0,0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
