event_date,event_name,fighter_blue,fighter_red,knockdowns_blue,knockdowns_red,sig_attempts_blue,sig_attempts_red,sig_strikes_blue,sig_strikes_red,total_strikes_attempts_blue,total_strikes_attempts_red,total_strikes_blue,total_strikes_red,sub_attempts_blue,sub_attempts_red,takedowns_blue,takedowns_red,takedown_attempts_blue,takedown_attempts_red,control_time_blue,control_time_red,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue,round,time,weight_class,win_method,winner
2025-02-22,UFC Fight Night: Cejudo vs. Song,Julius Walker,Alonzo Menifield,0,0,171,147,86,87,200,179,114,113,0,0,1,0,9,1,331,43,64,37,120,112,19,33,22,43,4,16,5,16,78,51,132,124,9,35,15,47,0,0,0,0,3,300,Light Heavyweight,Decision - Split,Alonzo Menifield
2025-02-22,UFC Fight Night: Cejudo vs. Song,Rafael Cerqueira,Modestas Bukauskas,0,1,22,41,9,16,22,41,9,16,0,0,0,0,0,0,0,2,11,4,36,16,3,0,3,1,2,5,2,5,16,9,40,22,0,0,0,0,0,0,1,0,1,132,Light Heavyweight,KO/TKO,Modestas Bukauskas
2025-02-22,UFC Fight Night: Cejudo vs. Song,Eric McConico,Nursulton Ruziboev,0,2,13,42,5,20,16,46,6,24,0,0,0,0,0,0,0,36,15,1,35,5,4,1,6,3,1,3,1,5,13,5,30,13,6,0,11,0,1,0,1,0,2,33,Middleweight,KO/TKO,Nursulton Ruziboev
2025-02-22,UFC Fight Night: Cejudo vs. Song,Javid Basharat,Ricky Simon,0,1,36,21,20,11,38,29,21,18,0,0,0,1,0,3,1,76,9,12,19,27,1,7,1,7,1,1,1,2,9,20,18,36,1,0,2,0,1,0,1,0,1,238,Bantamweight,KO/TKO,Ricky Simon
2025-02-22,UFC Fight Night: Cejudo vs. Song,Austin Vanderford,Nikolay Veretennikov,0,0,52,19,39,5,121,36,102,21,1,0,2,0,4,0,441,0,0,37,12,50,3,1,5,1,2,1,2,1,5,3,19,8,0,0,0,0,0,36,0,44,2,253,Catch Weight,KO/TKO,Austin Vanderford
2025-02-22,UFC Fight Night: Cejudo vs. Song,Nick Klein,Mansur Abdul-Malik,0,0,46,54,28,29,70,58,50,32,0,0,1,1,9,3,181,35,28,5,53,18,1,2,1,5,0,21,0,23,6,26,20,43,12,2,19,3,11,0,15,0,2,204,Middleweight,KO/TKO,Mansur Abdul-Malik
2025-02-22,UFC Fight Night: Cejudo vs. Song,Ibo Aslan,Ion Cutelaba,0,0,30,31,15,14,30,39,15,17,0,1,0,2,0,4,0,66,10,14,26,28,2,0,3,1,2,1,2,1,10,12,26,27,1,3,2,3,3,0,3,0,1,171,Light Heavyweight,Submission,Ion Cutelaba
2025-02-22,UFC Fight Night: Cejudo vs. Song,Melquizael Costa,Andre Fili,0,0,56,24,27,7,56,24,27,7,1,0,0,1,1,1,0,24,4,3,20,25,3,10,4,13,0,14,0,18,7,26,24,55,0,1,0,1,0,0,0,0,1,270,Featherweight,Submission,Melquizael Costa
2025-02-22,UFC Fight Night: Cejudo vs. Song,Melsik Baghdasaryan,Jean Silva,0,1,25,27,7,18,25,27,7,18,0,0,0,0,0,0,0,6,11,5,19,20,7,0,8,3,0,2,0,2,11,7,20,25,0,0,0,0,7,0,7,0,1,255,Featherweight,KO/TKO,Jean Silva
2025-02-22,UFC Fight Night: Cejudo vs. Song,Jean Matsumoto,Rob Font,0,0,181,171,77,95,225,191,113,113,0,1,7,0,10,0,375,78,82,43,157,135,13,9,14,13,0,25,0,33,85,69,157,169,10,8,14,12,0,0,0,0,3,300,Catch Weight,Decision - Split,Rob Font
2025-02-22,UFC Fight Night: Cejudo vs. Song,Song Yadong,Henry Cejudo,0,0,178,133,84,67,178,133,84,67,0,0,0,0,1,3,0,0,40,46,100,133,12,14,18,21,15,24,15,24,67,82,132,176,0,2,1,2,0,0,0,0,3,300,Bantamweight,Decision - Unanimous,Song Yadong
2025-02-22,UFC Fight Night: Cejudo vs. Song,Anthony Hernandez,Brendan Allen,0,0,42,26,30,14,91,71,72,53,0,1,4,0,8,1,622,178,8,30,19,42,3,0,3,0,3,0,4,0,10,12,22,17,2,0,2,1,2,18,2,24,3,300,Middleweight,Decision - Unanimous,Anthony Hernandez
2025-03-01,UFC Fight Night: Kape vs. Almabayev,JJ Aldrich,Andrea Lee,0,0,137,175,74,53,142,192,77,66,0,1,2,1,3,4,80,46,13,54,109,114,25,10,44,13,15,10,22,10,52,68,174,130,1,5,1,6,0,1,0,1,3,300,Women's Flyweight,Decision - Unanimous,JJ Aldrich
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Ramazan Temirov,Charles Johnson,0,0,139,156,55,66,146,183,59,87,0,0,1,0,2,3,23,78,28,42,104,117,23,13,32,22,15,0,20,0,46,46,129,118,20,9,27,19,0,0,0,2,3,300,Flyweight,Decision - Unanimous,Ramazan Temirov
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Mario Pinto,Austen Lane,1,1,23,63,13,32,26,75,16,36,0,0,0,0,1,1,18,53,17,8,42,18,13,2,17,2,2,3,4,3,31,12,58,20,1,1,5,2,0,0,0,1,2,39,Heavyweight,KO/TKO,Mario Pinto
2025-03-01,UFC Fight Night: Kape vs. Almabayev,William Gomis,Hyder Amil,0,0,187,202,101,115,205,262,116,164,0,0,0,1,3,6,82,163,60,60,140,134,37,27,42,39,18,14,20,14,98,90,180,169,15,11,20,18,2,0,2,0,3,300,Featherweight,Decision - Split,Hyder Amil
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Sam Patterson,Danny Barlow,1,0,34,30,18,15,34,30,18,15,0,0,0,0,0,0,3,0,10,14,23,28,2,4,3,6,3,0,4,0,15,15,30,29,0,0,0,0,0,3,0,5,1,190,Welterweight,KO/TKO,Sam Patterson
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Chepe Mariscal,Ricardo Ramos,0,0,162,91,85,37,210,91,125,37,0,0,2,1,5,4,155,28,17,59,63,122,14,9,18,14,6,17,10,26,32,64,84,132,5,14,7,19,0,7,0,11,3,300,Featherweight,Decision - Unanimous,Chepe Mariscal
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Esteban Ribovics,Nasrat Haqparast,0,0,433,273,147,135,436,273,149,135,0,0,0,1,0,5,0,49,103,120,233,395,26,17,34,27,6,10,6,11,134,147,272,433,1,0,1,0,0,0,0,0,3,300,Lightweight,Decision - Split,Nasrat Haqparast
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Julian Marquez,Cody Brundage,0,1,73,79,37,44,96,106,53,68,1,0,0,0,0,1,30,48,39,31,71,64,1,5,2,8,4,1,6,1,34,24,65,51,5,13,8,22,5,0,6,0,1,285,Middleweight,KO/TKO,Cody Brundage
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Asu Almabayev,Manel Kape,0,0,80,115,40,61,81,119,40,62,0,0,0,0,6,1,0,29,47,19,95,55,11,13,17,17,3,8,3,8,46,38,94,77,9,2,15,3,6,0,6,0,3,136,Flyweight,KO/TKO,Manel Kape
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Lucas Almeida,Danny Silva,0,0,240,137,74,82,244,141,78,85,0,0,0,1,1,3,17,49,45,49,96,203,14,14,18,23,23,11,23,14,81,73,133,239,0,1,2,1,1,0,2,0,3,300,Featherweight,Decision - Split,Danny Silva
2025-03-08,UFC 313: Pereira vs. Ankalaev,Francis Marshall,Mairon Santos,0,0,143,129,39,58,179,154,64,78,0,0,3,0,5,1,155,2,29,32,80,136,14,1,30,1,15,6,19,6,57,39,128,142,1,0,1,0,0,0,0,1,3,300,Featherweight,Decision - Split,Mairon Santos
