event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue
1994-03-11,UFC 2: No Way Out,jason delucia,scott baker,1,401,Open Weight,Submission,1,Southpaw,Orthodox,0,0,5,2,3,0,25,23,20,14,5,0,0,1,1,1,0,0,1,0,2,2,1,0,2,0,1,0,1,0,2,0,4,2,0,0,0,0,1,0,1,0
1994-03-11,UFC 2: No Way Out,royce gracie,remco pardoel,1,91,Open Weight,Submission,1,Southpaw,Southpaw,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,patrick smith,johnny rhodes,1,67,Open Weight,Submission,1,Orthodox,Orthodox,0,0,12,9,5,4,12,9,5,4,1,0,0,0,0,0,0,0,1,2,4,5,2,0,2,0,2,2,6,4,3,4,10,9,2,0,2,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,frank hamaker,thaddeus luster,1,292,Open Weight,Submission,1,Orthodox,Orthodox,0,0,3,0,2,0,15,0,14,0,3,0,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0
1994-03-11,UFC 2: No Way Out,patrick smith,ray wizard,1,58,Open Weight,Submission,1,Orthodox,Orthodox,0,0,1,1,1,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,johnny rhodes,david levicki,1,733,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,17,5,11,4,86,102,74,95,0,0,1,0,1,0,0,0,9,4,15,5,1,0,1,0,1,0,1,0,1,1,1,2,1,2,1,2,9,1,15,1
1994-03-11,UFC 2: No Way Out,royce gracie,jason delucia,1,67,Open Weight,Submission,1,Southpaw,Southpaw,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,johnny rhodes,fred ettish,1,187,Open Weight,Submission,1,Orthodox,Southpaw,1,0,29,7,13,4,38,11,21,7,1,0,0,0,0,0,0,0,12,0,28,1,0,2,0,4,1,2,1,2,3,4,6,7,1,0,2,0,9,0,21,0
1994-03-11,UFC 2: No Way Out,remco pardoel,orlando wiet,1,89,Open Weight,KO/TKO,1,Southpaw,Southpaw,0,0,7,2,7,1,7,7,7,5,0,0,1,0,1,0,0,0,7,0,7,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,7,0,7,0
1994-03-11,UFC 2: No Way Out,royce gracie,minoki ichihara,1,308,Open Weight,Submission,1,Southpaw,Orthodox,0,0,4,7,2,3,114,16,110,12,2,0,1,0,1,0,0,0,0,3,0,6,0,0,0,0,2,0,4,1,2,0,4,2,0,0,0,0,0,3,0,5
