days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
0,6,9,-199,-79,-274,0.0,-3.0,-169,-643,-80,-16,-0.63,0.0,-3,1
0,0,0,86,122,23,0.4499999999999999,1.76,-131,-167,14,43,-0.93,0.0,-71,1
0,0,11,424,71,779,-0.35,-2.41,697,2503,25,34,-1.3099999999999998,0.0,246,1
-68,2,7,-37,-7,-58,0.87,-0.01,-50,-66,3,15,0.0,0.0,-21,1
-68,-3,-2,-202,-73,-296,0.0,-3.35,-200,-751,-95,-34,4.79,-68.0,-24,1
138,-4,-9,-251,-100,-373,-1.66,-1.4400000000000002,-209,-761,-30,-52,1.33,0.0,-67,1
0,-5,-13,-418,-59,-601,-0.3,-0.6,-475,-1805,-21,-39,-1.79,0.0,-81,1
0,1,-3,-267,-80,-308,0.05,-0.8900000000000001,-182,-913,-86,-15,-0.2999999999999999,0.0,38,0
-77,-10,-17,-349,-31,-548,-0.3,6.57,-466,-2229,-13,-42,2.91,0.0,-107,1
-154,-6,-11,-983,-274,-1454,-0.09,1.36,-1158,-3656,-134,-35,1.01,0.0,-201,1
16,2,10,-464,-75,-814,-0.47,-0.04,-697,-2501,-22,-18,0.4999999999999999,0.0,-236,1
-88,-5,-9,-371,-100,-493,-0.35,-2.91,-320,-1505,-95,-81,-0.7,0.0,-22,1
77,0,-2,-68,-24,-53,0.0,-0.3,-10,418,-7,3,-1.26,0.0,26,1
113,-14,-19,-687,-202,-1202,-0.67,0.2199999999999999,-879,-2898,-68,-62,0.3,0.0,-299,1
-231,0,-13,-504,-209,-943,-0.69,0.29,-619,-1756,-36,-33,-0.4,0.0,-217,1
-52,-1,7,-169,-108,-219,-0.73,-1.71,-59,-403,-21,-53,5.76,0.0,-23,1
56,-4,-12,-506,-243,-629,0.35,-0.9400000000000002,-305,-1418,-266,-31,0.94,0.0,-26,1
158,-9,-14,79,61,73,-0.39,0.7099999999999997,-12,161,19,-13,2.08,0.0,-11,1
74,0,-3,-85,-21,-85,0.64,-0.72,-57,-224,-30,58,-0.7,0.0,-1,1
0,1,-1,0,0,-2,0.0,-1.93,-2,-10,-1,-25,-1.93,0.0,-2,1
0,-9,-13,-340,-52,-489,-0.3,0.8200000000000001,-352,-1001,-29,-13,-0.6,0.0,-51,1
0,0,4,-33,-6,-48,-1.55,0.3599999999999999,-27,-64,-5,43,0.0,0.0,-14,1
0,-12,-21,-241,-35,-474,-0.3,0.8,-285,-951,7,-67,-1.3,0.0,-45,1
0,2,5,-31,-18,-45,0.0,-2.12,-18,-92,-9,-100,-5.29,0.0,-7,1
14,-3,-6,-186,-133,-305,0.0,-0.4599999999999999,-83,-678,-92,39,-0.68,0.0,-56,1
273,2,-1,36,-130,170,0.39,-1.07,244,177,-7,25,-0.95,0.0,110,1
-14,-9,-12,-1219,-125,-1637,-0.16,0.1899999999999999,-1152,-3633,-79,-17,-0.05,0.0,-150,1
63,3,9,123,-14,376,0.12,-2.04,417,1163,-65,-16,-0.3699999999999999,11.0,235,1
126,1,3,-50,-22,-71,0.0,-3.02,-33,-143,5,-100,0.0,0.0,-3,1
-27,-9,-7,-328,-154,-671,-0.37,-0.5100000000000001,-462,-1309,-56,-23,1.42,3.0,-224,1
-170,5,-11,3,-50,-50,0.32,-2.64,-6,-118,-68,-14,0.05,-225.0,-2,1
0,-4,-5,-226,-54,-285,-0.14,-0.3899999999999999,-219,-1046,-53,-29,0.29,116.0,-23,1
-180,-3,-13,-250,-95,-362,-1.66,-0.4100000000000001,-214,-763,-30,-44,-0.64,-295.0,-57,1
140,3,9,824,309,1308,-0.26,-0.6200000000000001,943,2936,127,-15,-0.3899999999999999,200.0,240,1
155,-7,-10,-133,78,-161,-0.3,2.45,-247,-243,66,-15,0.7200000000000001,-21.0,-2,1
0,1,-4,-560,-283,-740,-1.28,-5.13,-260,-1279,-87,-86,-0.38,0.0,-100,1
343,-1,-16,-326,-185,-416,-0.3,-2.93,-147,-838,-83,-72,-0.6,0.0,-46,1
0,5,1,-217,-22,-405,0.2799999999999999,3.01,-316,-858,7,-25,1.1,413.0,-125,1
429,7,13,26,34,-9,-0.57,2.77,-44,-83,43,35,0.6,0.0,-25,1
0,5,11,2,77,-185,0.27,2.98,-172,-418,53,2,0.8399999999999999,0.0,-117,1
0,0,3,-238,-177,-469,0.0,-3.51,-163,-1122,-73,-72,-0.54,0.0,-103,1
195,-16,-23,-599,-158,-993,-0.6,0.4400000000000001,-568,-1777,-55,36,3.99,196.0,-91,1
140,-5,-16,-59,-18,-87,0.0,0.8599999999999999,-24,-176,-14,-25,-2.37,0.0,-6,1
0,-3,-7,-13,12,-18,-0.4,3.02,-23,-182,4,67,-0.79,164.0,-9,1
0,-4,-6,-13,-6,-30,0.0,-0.91,-14,-72,-17,-25,-0.96,0.0,-7,1
0,-8,-4,-177,-23,-285,-1.16,-0.93,-246,-794,-2,-77,-0.7,0.0,-67,1
0,2,10,15,10,17,0.0,1.15,-19,2,1,50,-2.09,0.0,-2,1
361,2,14,182,87,236,1.09,2.1500000000000004,106,427,31,29,-0.2099999999999999,66.0,25,1
-28,5,14,-263,-107,-408,-0.27,3.73,-246,-875,-57,37,1.94,0.0,-55,1
0,-5,-13,-102,-6,-125,-0.82,-0.41,-111,-402,-1,-50,-3.29,0.0,-6,1
0,-1,-3,10,1,17,-2.7,0.9,12,10,2,20,0.9,0.0,3,1
373,11,22,146,139,366,-0.12,-2.68,189,856,11,-27,0.24,0.0,109,1
-244,-10,-9,-232,-31,-459,-0.3,5.39,-273,-893,10,-67,0.9400000000000002,-245.0,-46,1
-161,-1,0,-47,-34,-96,-0.79,0.6299999999999999,-45,-190,10,-14,-1.1800000000000002,0.0,-1,1
0,1,-23,-745,-302,-1513,-0.25,-1.89,-980,-2538,-97,-35,-0.46,0.0,-412,1
-28,15,4,304,-8,615,0.3,-1.2500000000000002,431,1009,-23,-8,0.7000000000000001,-28.0,45,1
226,1,6,15,14,-16,0.0,2.55,-35,-111,41,44,1.45,0.0,-8,1
-217,-9,-6,-358,-77,-621,-0.48,-1.45,-385,-1204,-60,-59,-0.76,0.0,-103,1
88,-1,9,-139,-27,-215,-0.2,0.4100000000000001,-189,-657,-16,-22,0.6000000000000001,88.0,-38,1
151,-1,-8,-130,-55,-180,0.0,-2.37,-70,-451,-43,-25,-1.29,0.0,-27,1
-74,2,-5,-4,-3,-33,0.0,-1.13,-11,-20,-34,17,-2.68,0.0,-2,1
315,4,-1,36,-5,46,0.82,0.6299999999999999,36,98,4,17,1.64,546.0,8,1
-147,-1,-7,-111,-69,-135,-1.89,-1.42,-26,-286,-9,7,0.0,0.0,-20,1
336,4,3,-157,-28,-214,0.03,0.8400000000000001,-126,-689,-12,11,0.03,336.0,-30,1
0,-16,-24,-765,-183,-1306,-0.2,-1.5,-931,-3104,-99,-35,-0.5700000000000001,0.0,-280,1
0,-1,-2,-159,-96,-290,0.0,-2.41,-92,-682,-92,-6,-0.08,-322.0,-60,1
-49,-16,-13,-616,-167,-1012,-0.6,3.91,-574,-1799,-51,-64,0.9400000000000002,-147.0,-93,1
-538,-3,4,314,64,546,-0.47,0.8399999999999999,286,746,113,-7,0.1999999999999999,-297.0,20,1
21,-3,-3,3,7,6,0.0,-0.79,-19,-4,-16,4,-0.39,0.0,-9,1
-367,-9,-15,-247,-41,-484,-0.3,-0.2,-284,-962,-4,-67,-1.3,-123.0,-51,1
0,-4,0,-153,-22,-258,-0.33,0.0,-184,-769,-6,-24,-0.65,0.0,-20,1
0,-6,-13,-98,-6,-105,-0.82,-0.41,-92,-359,2,-50,-1.2000000000000002,0.0,0,1
178,0,-4,49,22,57,0.0,1.8,19,113,4,75,-2.45,322.0,-9,1
0,-3,-13,-167,-64,-272,-0.5,-0.32,-159,-512,-11,-22,-0.15,0.0,-84,1
-361,-2,-14,-182,-87,-236,-1.09,-2.1500000000000004,-106,-427,-31,-29,0.2099999999999999,-108.0,-25,1
0,-12,-21,-169,-60,-285,-0.17,1.26,-166,-720,-7,-72,-1.04,0.0,-53,1
0,8,2,315,102,526,-0.07,-0.26,350,1525,-1,5,-1.5499999999999998,0.0,86,1
0,2,-11,-384,-229,-494,-0.51,-1.82,-218,-993,-95,-14,0.33,0.0,-64,1
0,0,1,-70,-33,60,-0.31,0.1800000000000001,88,169,-7,-6,-1.38,0.0,80,1
0,-3,-6,30,10,18,-0.58,-1.17,3,118,-9,88,-2.84,0.0,-1,1
0,-4,-11,-81,-5,-122,-0.24,-0.47,-105,-453,-6,-79,-0.94,0.0,-19,1
245,-1,0,-97,10,-142,-1.16,-0.43,-156,-426,-4,-38,-0.7,-49.0,-42,1
-88,-3,-5,-193,-126,-322,0.0,-0.8099999999999996,-148,-665,-30,-13,0.1900000000000001,-161.0,-49,1
140,-3,2,-96,-15,-186,-1.74,0.0,-166,-342,-1,-76,3.77,0.0,-80,1
16,-5,-15,-411,-79,-743,-0.47,-0.42,-627,-2377,-38,6,-0.33,88.0,-229,1
-497,-1,-7,-93,-24,-120,-0.39,-3.55,-66,-309,-13,-82,-0.39,0.0,-17,1
0,-1,-13,-274,-151,-410,-0.25,-2.61,-209,-1012,-48,-32,-0.87,0.0,-50,1
419,2,2,6,-4,17,0.0,2.12,15,1,9,33,4.79,420.0,6,1
