winner,age_diff,height_diff,weight_diff,reach_diff,leg_reach_diff,wins_diff,losses_diff,draws_diff,wins_by_knockout_diff,first_round_finishes_diff,win_by_dec_diff,win_by_sub_diff,sig_strikes_landed_diff,sig_strikes_attempted_diff,takedowns_landed_diff,takedowns_attempted_diff,sig_strikes_landed_per_minute_diff,sig_strikes_absorbed_per_minute_diff,takedowns_avg_diff,submission_avg_diff,sig_strikes_defense_diff,takedown_defense_diff,knockdown_avg_diff,fight_time_avg_diff,sig_strikes_standing_diff,sig_strikes_clinch_diff,sig_strikes_ground_diff,head_target_diff,body_target_diff,leg_target_diff,win_ratio_diff,days_since_debut_diff,days_since_win_diff,days_since_last_fight_diff,fight_count_last_365_days_diff,win_streak_diff
1,-1,1.0,10.0,4.099999999999994,0.7999999999999972,9,6,6,0,0,3,25,-274,-643,0,-80,-1,1,-3.0,-0.63,-13,-16,0.0,-480.0,-169,-26,-79,-199,-72,-3,-0.12735849056603776,0,0.0,0,0,0
1,4,-5.0,-10.0,-3.5999999999999943,-0.8999999999999986,0,0,0,0,0,0,0,23,-167,0,14,2,0,1.76,-0.9299999999999999,-11,43,0.44999999999999996,-2940.0,-131,32,122,86,8,-71,0.0,0,0.0,0,0,0
1,12,-4.0,-9.0,-1.2999999999999972,-1.2000000000000028,11,0,0,0,0,0,0,779,2503,13,25,2,0,-2.4099999999999997,-1.3099999999999998,23,34,-0.35,12120.0,697,11,71,424,109,246,0.15473145780051156,0,0.0,0,0,0
1,2,-2.0,0.0,0.5,0.7000000000000028,7,2,0,0,0,0,0,-58,-66,0,3,-2,2,-0.010000000000000009,0.0,-20,15,0.87,11460.0,-50,-1,-7,-37,0,-21,0.08074534161490687,-68,0.0,0,0,0
1,12,1.0,10.0,4.900000000000006,1.7999999999999972,-2,-3,0,0,0,0,0,-296,-751,0,-95,-1,1,-3.35,4.79,-18,-34,0.0,840.0,-200,-23,-73,-202,-70,-24,0.06481481481481477,-68,-68.0,-68,-1,-1
1,2,-3.0,-32.80000000000001,-5.599999999999994,-3.799999999999997,-9,-4,0,0,0,0,0,-373,-761,0,-30,-2,0,-1.4400000000000002,1.33,-14,-52,-1.66,5220.0,-209,-64,-100,-251,-55,-67,0.080952380952381,138,0.0,0,0,0
1,7,-7.0,10.0,-3.4000000000000057,0.0,-13,-5,0,0,0,0,0,-601,-1805,0,-21,0,6,-0.6,-1.79,4,-39,-0.3,-32100.0,-475,-67,-59,-418,-102,-81,-0.0848214285714286,0,0.0,0,0,0
0,-3,0.0,-2.0,1.7000000000000028,-0.20000000000000284,-3,1,-1,-2,0,-12,0,-308,-913,-50,-86,1,0,-0.8900000000000001,-0.29999999999999993,-2,-15,0.050000000000000044,-8220.0,-182,-46,-80,-267,-79,38,-0.05869565217391304,0,0.0,0,0,0
1,5,-0.5999999999999943,8.0,-0.09999999999999432,1.0,-17,-10,-1,0,0,0,0,-548,-2229,-4,-13,-2,-4,6.57,2.91,-20,-42,-0.3,-26400.0,-466,-51,-31,-349,-92,-107,0.053763440860215006,-77,0.0,0,0,0
1,0,2.0,20.400000000000006,7.0,2.299999999999997,-11,-6,-1,-6,-6,-13,-4,-1454,-3656,-67,-134,-2,-1,1.3599999999999999,1.01,-5,-35,-0.09,-16260.0,-1158,-22,-274,-983,-270,-201,0.04873949579831938,-154,0.0,0,0,0
