name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
aj cunningham,"Mar. 2, 2024",70.0,136.0,71.0,41.0,4.0,6.0,0.0,0.52,0.0,574
aj dobson,"Feb. 12, 2022",73.0,185.0,76.0,43.5,4.0,5.0,1.67,0.28,0.28,647
aj fletcher,"Mar. 12, 2022",70.0,183.0,67.0,37.0,3.0,5.0,1.54,0.93,0.31,583
aalon cruz,"Jul. 30, 2019",72.0,155.0,78.0,42.0,8.0,9.0,0.0,0.0,0.85,354
aaron brink,"Nov. 17, 2000",75.0,231.0,77.4,44.3,3.0,6.0,0.0,0.0,0.0,111
aaron jeffery,"Sep. 27, 2025",74.0,185.5,73.5,41.0,3.0,4.0,0.0,0.0,0.0,552
aaron phillips,"May. 24, 2014",69.0,136.0,71.0,40.0,2.0,4.0,0.86,0.57,0.0,787
aaron pico,"Jul. 26, 2025",68.0,145.0,70.5,39.7,4.0,2.0,8.96,0.0,0.0,201
aaron riley,"May. 10, 2002",68.0,156.0,70.5,39.1,3.0,4.0,1.18,0.15,0.15,608
aaron rosa,"Jun. 12, 2011",76.0,205.5,78.0,43.4,4.0,4.0,0.36,0.36,0.0,498
aaron simpson,"Apr. 1, 2009",72.0,171.0,74.3,41.2,4.0,3.0,3.78,0.47,0.83,635
aaron wilkinson,"Dec. 5, 2010",72.0,155.0,72.6,41.1,0.0,0.0,7.32,0.0,0.0,123
abdul azeem badakhshi,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
abdul razak alhassan,"Nov. 19, 2016",70.0,185.5,73.0,39.0,4.0,4.0,0.84,0.17,1.85,358
abdul-kareem al-selwady,"Mar. 2, 2024",68.0,155.0,69.0,39.0,4.0,4.0,2.32,0.0,0.0,775
abdul-kerim edilov,"Sep. 2, 2017",74.0,204.0,78.0,42.0,10.0,0.0,3.98,1.99,0.0,452
abdulrakhman yakhyaev,"Sep. 27, 2025",75.2,206.0,77.4,43.4,32.0,2.0,0.0,0.0,30.0,30
abel trujillo,"Dec. 8, 2012",68.0,155.5,70.0,39.0,3.0,2.0,2.18,0.44,0.44,563
abner lloveras,"Dec. 11, 2015",71.0,155.0,71.5,41.0,6.0,7.0,2.0,0.0,0.0,900
abu azaitar,"Jul. 22, 2018",69.0,186.0,76.0,41.0,4.0,4.0,1.0,0.0,0.0,899
abubakar nurmagomedov,"Nov. 9, 2019",71.0,170.0,72.0,39.5,3.0,3.0,1.25,0.0,0.0,718
abus magomedov,"Sep. 3, 2022",74.0,185.5,78.0,43.0,3.0,4.0,2.65,0.22,0.22,679
acacio dos santos,"Sep. 27, 2025",76.0,201.0,79.0,45.0,1.0,1.0,0.0,0.0,0.0,900
achilles estremadura,"Sep. 27, 2025",70.0,156.0,68.0,40.5,3.0,3.0,0.0,0.0,0.0,900
adam antolin,"Aug. 29, 2017",65.0,125.0,66.1,37.5,6.0,5.0,0.0,0.0,0.0,345
adam cella,"Apr. 6, 2013",74.0,184.0,76.6,41.6,2.0,3.0,3.92,1.31,0.0,460
adam fugitt,"Jul. 30, 2022",73.0,171.0,77.0,41.0,5.0,5.0,1.83,0.0,0.0,491
adam hunter,"Sep. 27, 2025",73.0,185.5,73.0,40.0,0.0,0.0,0.0,0.0,0.0,0
adam khaliev,"Sep. 27, 2025",70.0,170.0,71.2,39.5,0.0,0.0,0.0,0.0,0.0,0
adam milstead,"May. 30, 2016",75.0,204.0,76.0,42.0,4.0,5.0,0.0,0.0,0.0,495
adam wieczorek,"Nov. 18, 2017",77.0,232.2,81.0,46.0,2.0,2.0,0.41,0.41,0.0,740
adam yandiev,"Sep. 15, 2018",69.0,184.0,74.0,40.0,0.0,6.0,0.0,0.0,0.0,342
adlan amagov,"Jan. 8, 2012",74.0,171.0,75.1,42.2,3.0,1.0,5.84,0.0,1.3,381
adli edwards,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
adrian diaz,"Aug. 15, 2017",70.0,144.5,70.6,40.1,0.0,4.0,2.4,0.0,0.0,375
adrian serrano,"Jun. 9, 2000",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
adrian yanez,"Oct. 31, 2020",67.0,136.0,70.0,38.0,6.0,6.0,0.0,0.0,1.54,408
adriano martins,"Jan. 13, 2013",69.0,156.0,72.0,40.0,2.0,2.0,0.83,0.41,0.62,583
adriano santos,"Oct. 16, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
ahmad hassanzada,"Apr. 26, 2025",69.6,154.5,72.8,39.5,3.0,4.0,2.43,1.22,0.0,740
aiemann zahabi,"Feb. 20, 2017",68.0,142.0,68.5,38.0,4.0,4.0,0.14,0.0,0.42,707
aili muratbek,"Jun. 9, 2022",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
ailin perez,"Sep. 3, 2022",65.0,135.0,66.0,36.0,3.0,2.0,4.68,0.2,0.2,738
aisling daly,"Dec. 12, 2014",62.0,116.0,64.0,37.0,3.0,1.0,2.15,0.86,0.0,698
akbarh arreola,"Jul. 26, 2014",70.0,155.0,71.0,40.0,2.0,4.0,1.07,0.36,0.72,628
akihiro gono,"Nov. 17, 2007",69.0,171.0,71.8,40.6,2.0,11.0,1.57,0.39,0.39,766
akira corassani,"Sep. 29, 2012",68.0,145.0,67.0,38.4,3.0,5.0,0.7,0.0,0.0,427
akitoshi tamura,"Sep. 27, 2025",69.0,135.0,70.2,39.1,4.0,2.0,0.0,1.0,0.0,896
al iaquinta,"Jun. 2, 2012",70.0,155.8,70.0,40.0,4.0,5.0,0.63,0.24,0.55,762
al matavao,"Sep. 27, 2025",73.2,200.0,77.3,40.9,8.0,7.0,0.0,0.0,0.0,421
alan baudot,"Oct. 10, 2020",75.0,253.0,79.0,44.0,5.0,5.0,0.0,0.0,0.48,467
alan belcher,"Aug. 26, 2006",74.0,185.0,75.0,42.4,3.0,3.0,0.44,0.87,0.33,551
alan jouban,"Aug. 16, 2014",72.0,170.5,73.5,41.0,6.0,4.0,0.51,0.26,1.15,540
alan omer,"Apr. 11, 2014",69.0,146.0,71.0,40.1,3.0,2.0,1.69,0.0,0.0,801
alan patrick,"Oct. 9, 2013",70.0,156.0,74.0,42.0,2.0,3.0,3.01,0.26,0.13,688
alatengheili,"Aug. 31, 2019",65.0,136.0,66.5,35.0,3.0,5.0,1.74,0.0,0.12,805
albert cheng,"Mar. 1, 2014",71.0,170.0,73.6,40.5,1.0,3.0,0.0,0.0,0.0,300
albert duraev,"Oct. 30, 2021",71.0,195.0,75.0,40.0,3.0,3.0,1.97,0.56,0.0,639
albert morales,"Sep. 18, 2016",69.0,135.0,72.0,39.0,4.0,4.0,0.91,0.18,0.0,706
albert tumenov,"Feb. 15, 2014",71.0,169.0,73.0,39.0,4.0,3.0,0.2,0.0,1.01,556
alberta cerra,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
alberto cerro leon,"Mar. 11, 1994",75.0,205.6,76.8,44.2,0.0,0.0,0.0,0.0,0.0,0
alberto crane,"Aug. 25, 2007",69.0,155.0,71.1,39.9,0.0,3.0,0.0,4.0,0.8,563
alberto mina,"Aug. 23, 2014",72.0,171.0,77.5,42.5,3.0,4.0,1.85,0.0,1.11,609
alberto montes,"Apr. 12, 2025",68.4,145.5,69.7,38.7,5.0,5.0,0.0,9.83,0.0,458
alberto pereira,"May. 30, 2016",75.0,185.5,77.0,45.0,2.0,3.0,2.83,0.0,0.0,318
alden coria,"Sep. 13, 2025",68.0,125.0,67.0,38.2,4.0,1.0,2.78,0.0,0.0,647
alejandro flores,"Sep. 27, 2025",68.4,145.5,69.7,38.7,4.0,2.0,0.0,0.0,0.0,475
alejandro perez,"Nov. 15, 2014",66.0,144.5,67.0,36.5,3.0,3.0,0.54,0.32,0.11,641
aleksa camur,"Jul. 30, 2019",73.0,204.5,74.0,42.0,5.0,4.0,0.46,0.0,0.23,790
aleksandar rakic,"Sep. 2, 2017",76.0,206.0,78.0,46.0,4.0,3.0,0.66,0.13,0.52,686
aleksandre topuria,"Feb. 8, 2025",67.0,135.5,68.0,38.0,3.0,3.0,1.0,0.0,0.0,900
aleksei kunchenko,"Sep. 15, 2018",68.0,170.0,70.0,37.0,4.0,3.0,0.25,0.0,0.0,900
aleksei oleinik,"Jun. 28, 2014",74.0,254.0,80.0,45.0,3.0,4.0,1.82,1.95,0.26,408
alen amedovski,"Apr. 20, 2019",70.0,185.5,74.0,41.5,1.0,4.0,0.0,0.0,0.0,304
alessandro costa,"Dec. 17, 2022",64.0,125.0,67.0,36.0,4.0,4.0,0.46,0.46,0.69,656
alessandro ricci,"Aug. 28, 2016",71.0,156.0,69.0,39.0,2.0,3.0,0.0,0.0,0.0,592
alessio di chirico,"Apr. 10, 2016",72.0,186.0,74.0,45.0,3.0,3.0,1.46,0.0,0.4,617
alessio sakara,"Feb. 4, 2006",72.0,185.0,72.0,40.4,4.0,3.0,2.18,0.0,0.79,302
